inregistrare_id,nume_aoi,start_time,end_time,x_min_norm,y_min_norm,x_max_norm,y_max_norm
2025-09-26_16-24-13-61db42a9,waldo_3,1758894253000000000,1758894253785000000,0.476,0.361,0.498,0.413
2025-09-26_16-24-13-61db42a9,waldo_4,1758894253892000000,1758894254252000000,0.551,0.298,0.564,0.381
2025-09-26_16-45-00-95032692,waldo_1,1758895500000000000,1758895500980740000,0.234,0.205,0.253,0.259
2025-09-26_16-45-00-95032692,waldo_2,1758895501019170000,1758895501125560000,0.609,0.189,0.649,0.367
2025-09-26_16-45-00-95032692,waldo_3,1758895501164970000,1758895501215220000,0.476,0.361,0.498,0.413
2025-09-26_16-45-00-95032692,waldo_4,1758895501232950000,1758895501377770000,0.551,0.298,0.564,0.381
2025-09-26_19-01-53-2ec86210,waldo_1,1758903713000000000,1758903720812170000,0.234,0.205,0.253,0.259
2025-09-26_19-01-53-2ec86210,waldo_2,1758903720824020000,1758903720935400000,0.609,0.189,0.649,0.367
2025-09-26_19-01-53-2ec86210,waldo_3,1758903720973930000,1758903736934380000,0.476,0.361,0.498,0.413
2025-09-26_19-01-53-2ec86210,waldo_4,1758903736974770000,1758903741353580000,0.551,0.298,0.564,0.381
2025-09-26_19-10-19-05411873,waldo_1,1758904218995000000,1758904229655000000,0.234,0.205,0.253,0.259
2025-09-26_19-10-19-05411873,waldo_2,1758904229797600000,1758904231868000000,0.609,0.189,0.649,0.367
2025-09-26_19-10-19-05411873,waldo_3,1758904231911000000,1758904232404000000,0.476,0.361,0.498,0.413
2025-09-26_19-10-19-05411873,waldo_4,1758904232901000000,1758904234861000000,0.551,0.298,0.564,0.381
2025-09-26_19-12-44-115b6a40,waldo_1,1758904368340000000,1758904496545000000,0.234,0.205,0.253,0.259
2025-09-26_19-12-44-115b6a40,waldo_2,1758904498663000000,1758904500240000000,0.609,0.189,0.649,0.367
2025-09-26_19-12-44-115b6a40,waldo_3,1758904504525000000,1758904549794000000,0.476,0.361,0.498,0.413
2025-09-26_19-12-44-115b6a40,waldo_4,1758904552306000000,1758904553735000000,0.551,0.298,0.564,0.381
2025-09-26_19-17-52-c0419fea,waldo_1,1758904672000000000,1758904679733000000,0.234,0.205,0.253,0.259
2025-09-26_19-17-52-c0419fea,waldo_2,1758904679822600000,1758904685368000000,0.609,0.189,0.649,0.367
2025-09-26_19-17-52-c0419fea,waldo_3,1758904688964000000,1758904702460000000,0.476,0.361,0.498,0.413
2025-09-26_19-17-52-c0419fea,waldo_4,1758904706499000000,1758904713209000000,0.551,0.298,0.564,0.381
2025-09-26_19-27-31-2699d4a1,waldo_1,1758905251000000000,1758905310736000000,0.234,0.205,0.253,0.259
2025-09-26_19-27-31-2699d4a1,waldo_2,1758905312608000000,1758905326203000000,0.609,0.189,0.649,0.367
2025-09-26_19-27-31-2699d4a1,waldo_3,1758905326735000000,1758905337040000000,0.476,0.361,0.498,0.413
2025-09-26_19-27-31-2699d4a1,waldo_4,1758905339503000000,1758905347187000000,0.551,0.298,0.564,0.381
2025-09-26_19-29-58-b4f7a1df,waldo_1,1758905395467000000,1758905520388000000,0.234,0.205,0.253,0.259
2025-09-26_19-29-58-b4f7a1df,waldo_2,1758905522752000000,1758905526102000000,0.609,0.189,0.649,0.367
2025-09-26_19-29-58-b4f7a1df,waldo_3,1758905526190000000,1758905532348000000,0.476,0.361,0.498,0.413
2025-09-26_19-29-58-b4f7a1df,waldo_4,1758905532436000000,1758905532801000000,0.551,0.298,0.564,0.381
2025-09-26_19-37-31-91230d39,waldo_1,1758905851526000000,1758905894775000000,0.234,0.205,0.253,0.259
2025-09-26_19-37-31-91230d39,waldo_2,1758905896844000000,1758905898962000000,0.609,0.189,0.649,0.367
2025-09-26_19-37-31-91230d39,waldo_3,1758905901031000000,1758905907632000000,0.476,0.361,0.498,0.413
2025-09-26_19-37-31-91230d39,waldo_4,1758905911178000000,1758905914429000000,0.551,0.298,0.564,0.381
2025-09-26_19-39-21-36589e44,waldo_1,1758905965369000000,1758906118860000000,0.234,0.205,0.253,0.259
2025-09-26_19-39-21-36589e44,waldo_2,1758906125608000000,1758906159400000000,0.609,0.189,0.649,0.367
2025-09-26_19-39-21-36589e44,waldo_3,1758906163390000000,1758906349638000000,0.476,0.361,0.498,0.413
2025-09-26_19-39-21-36589e44,waldo_4,1758906352791000000,1758906483821000000,0.551,0.298,0.564,0.381
2025-09-26_20-20-21-410567f0,waldo_1,1758908421772000000,1758908537679000000,0.234,0.205,0.253,0.259
2025-09-26_20-20-21-410567f0,waldo_2,1758908540339000000,1758908544428000000,0.609,0.189,0.649,0.367
2025-09-26_20-20-21-410567f0,waldo_3,1758908546841000000,1758908579549000000,0.476,0.361,0.498,0.413
2025-09-26_20-20-21-410567f0,waldo_4,1758908583145000000,1758908675012000000,0.551,0.298,0.564,0.381
