recording_id,total_fixations,avg_fixation_duration_s,total_fixation_duration_s,saccade_length_avg,fixation_dispersion,fixation_revisits,waldo_fixations,waldo_fixation_duration_total_s,waldo_fixation_duration_avg_s,waldo_fixation_ratio,waldo_time_ratio,waldo_first_fixation_s,waldo_last_fixation_s,waldo_revisits,gaze_entropy,surface_visibility_ratio,surface_gaze_ratio,fixation_density,peripheral_gaze_rate
2025-09-26_16-24-13-61db42a9,300,0.3410839492266667,102.325184768,0.16769771184533197,0.22229353314194855,8,10,11.150248,1.1150248,0.03333333333333333,0.1089687551044325,35.292742144,95.548472064,0,8.038542734445482,0,0,0,0.6
2025-09-26_16-45-00-95032692,368,0.0,0.0,0.16296089697160654,0.2591471596241568,14,6,3.863496,0.643916,0.016304347826086956,0.0,0.0,0.0,0,7.9761883657147346,0,0,0,0.6666666666666666
2025-09-26_19-01-53-2ec86210,659,0.12194281896206374,80.36031769600001,0.07728803061115899,0.14854538464028955,106,3,0.360125,0.12004166666666666,0.004552352048558422,0.004481378500298356,6.621250048,447.484832768,0,8.106237113529296,0,0,0,1.0
2025-09-26_19-10-19-05411873,288,0.38563834044444445,111.063842048,0.1299914608607111,0.20655762611400058,12,7,7.411876,1.0588394285714287,0.024305555555555556,0.06673527462517195,9.939251968,91.795126016,0,7.5516020680445255,0,0,0,0.42857142857142855
2025-09-26_19-12-44-115b6a40,519,0.3349267912755298,173.827004672,0.14114732636781885,0.1858810514777971,43,22,11.420614000000002,0.5191188181818183,0.04238921001926782,0.06570103432173811,30.313124864,193.43922688,2,7.966149582887735,0,0,0,0.7272727272727273
2025-09-26_19-17-52-c0419fea,157,0.37343430114649684,58.62918528,0.8343841307483189,1.9062009058833176,5,8,8.452853999999999,1.0566067499999998,0.050955414012738856,0.14417485011314826,15.12900224,68.523496192,1,7.495625628704921,0,0,0,0.375
2025-09-26_19-27-31-2699d4a1,226,0.42891713359292033,96.935272192,0.10039860242509374,0.16455812100008385,12,17,13.477744000000001,0.7928084705882353,0.0752212389380531,0.1390385944685294,30.087995136,104.82723328,2,7.211374165331501,0,0,0,0.5882352941176471
2025-09-26_19-29-58-b4f7a1df,369,0.3939802321517615,145.378705664,0.17279526379543525,0.27379699794797574,20,3,6.546123,2.182041,0.008130081300813009,0.04502807319752476,72.852483072,135.975963392,0,8.159171819900632,0,0,0,0.3333333333333333
2025-09-26_19-37-31-91230d39,218,0.32633248411009175,71.140481536,0.16857847260458134,0.21607013507379583,12,10,11.616023,1.1616023,0.045871559633027525,0.1632828840794649,34.266739968,82.07097088,1,7.5026709100974145,0,0,0,0.4
2025-09-26_19-39-21-36589e44,1338,0.2910641388101644,389.443817728,0.1340808602955527,0.23325490555159184,180,31,18.126444,0.584724,0.023168908819133034,0.04654443895334882,6.946497024,443.265842176,5,8.64660431202384,0,0,0,0.7096774193548387
2025-09-26_20-20-21-410567f0,595,0.38752618788571436,230.57808179200003,0.2591745673201723,0.6083292723046074,25,4,0.970861,0.24271525,0.0067226890756302525,0.004210551985057255,57.468238848,106.643853824,0,8.45578189920884,0,0,0,0.75
