world_index,world_timestamp,surface_name,event_type
2,0.8987032890000001,Surface 1,enter
3,0.947962289,Surface 1,exit
5,1.046479289,Surface 1,enter
7,1.144997289,Surface 1,exit
15,1.5390672890000001,Surface 1,enter
20,1.7853602890000002,Surface 1,exit
22,1.883878289,Surface 1,enter
29,2.228689289,Surface 1,exit
31,2.3272062890000003,Surface 1,enter
71,4.297555289,Surface 1,exit
75,4.4945902890000005,Surface 1,enter
75,4.4945902890000005,Surface 1,exit
84,4.937919289,Surface 1,enter
90,5.233471289000001,Surface 1,exit
93,5.381247289,Surface 1,enter
94,5.430506289,Surface 1,exit
97,5.578282289000001,Surface 1,enter
98,5.627541289000001,Surface 1,exit
102,5.824576289,Surface 1,enter
109,6.169387289,Surface 1,exit
112,6.317163289000001,Surface 1,enter
121,6.760492289,Surface 1,exit
123,6.859009289,Surface 1,enter
124,6.9082682890000005,Surface 1,exit
131,7.253079289,Surface 1,enter
132,7.302338289000001,Surface 1,exit
135,7.450114289,Surface 1,enter
135,7.450114289,Surface 1,exit
138,7.597890289,Surface 1,enter
140,7.696407289000001,Surface 1,exit
147,8.041218289,Surface 1,enter
155,8.435288289,Surface 1,exit
163,8.829358289,Surface 1,enter
170,9.174169289,Surface 1,exit
176,9.469722289,Surface 1,enter
197,10.504155289,Surface 1,exit
200,10.651931289,Surface 1,enter
202,10.750448289000001,Surface 1,exit
208,11.046001289000001,Surface 1,enter
309,16.021132289,Surface 1,exit
314,16.267426289,Surface 1,enter
317,16.415202289,Surface 1,exit
324,16.760013289,Surface 1,enter
328,16.957048289,Surface 1,exit
333,17.203341289,Surface 1,enter
391,20.060348289,Surface 1,exit
397,20.355900289,Surface 1,enter
809,40.650495289000006,Surface 1,exit
813,40.847530289000005,Surface 1,enter
827,41.537152289000005,Surface 1,exit
831,41.734187289000005,Surface 1,enter
1003,50.206688289000006,Surface 1,exit
1005,50.305205289,Surface 1,enter
1010,50.551499289000006,Surface 1,exit
1012,50.650017289000004,Surface 1,enter
1160,57.940308289,Surface 1,exit
1166,58.235860289,Surface 1,enter
1191,59.467329289000006,Surface 1,exit
1193,59.56584628900001,Surface 1,enter
1333,66.462068289,Surface 1,exit
1335,66.560585289,Surface 1,enter
1335,66.560585289,Surface 1,exit
1338,66.70836128900001,Surface 1,enter
1369,68.235382289,Surface 1,exit
1373,68.432417289,Surface 1,enter
1468,73.111996289,Surface 1,exit
1472,73.309031289,Surface 1,enter
1490,74.195688289,Surface 1,exit
1493,74.34346428900001,Surface 1,enter
1748,86.90443928900001,Surface 1,exit
1751,87.052215289,Surface 1,enter
1751,87.052215289,Surface 1,exit
1753,87.150733289,Surface 1,enter
1754,87.19999128900001,Surface 1,exit
1757,87.347768289,Surface 1,enter
1844,91.633277289,Surface 1,exit
1856,92.22438128900001,Surface 1,enter
1901,94.44102428900001,Surface 1,exit
1913,95.03212928900001,Surface 1,enter
1940,96.362114289,Surface 1,exit
1954,97.051737289,Surface 1,enter
1965,97.59358328900001,Surface 1,exit
1968,97.741359289,Surface 1,enter
1977,98.18468728900001,Surface 1,exit
1981,98.38172228900001,Surface 1,enter
1998,99.219121289,Surface 1,exit
2002,99.416156289,Surface 1,enter
2012,99.908743289,Surface 1,exit
2018,100.204295289,Surface 1,enter
2019,100.25355428900001,Surface 1,exit
2021,100.35207128900001,Surface 1,enter
2026,100.598365289,Surface 1,exit
2029,100.74614128900001,Surface 1,enter
2033,100.94317628900001,Surface 1,exit
2035,101.04169328900001,Surface 1,enter
2035,101.04169328900001,Surface 1,exit
2037,101.140211289,Surface 1,enter
2038,101.18947028900001,Surface 1,exit
2041,101.337246289,Surface 1,enter
2077,103.110560289,Surface 1,exit
2079,103.209077289,Surface 1,enter
2083,103.406112289,Surface 1,exit
2086,103.55388928900001,Surface 1,enter
2088,103.65240628900001,Surface 1,exit
2095,103.997217289,Surface 1,enter
2097,104.095734289,Surface 1,exit
2099,104.194252289,Surface 1,enter
2201,109.218642289,Surface 1,exit
2203,109.317159289,Surface 1,enter
2203,109.317159289,Surface 1,exit
2207,109.514194289,Surface 1,enter
2708,134.192816289,Surface 1,exit
2711,134.340592289,Surface 1,enter
2711,134.340592289,Surface 1,exit
2714,134.48836928900002,Surface 1,enter
2714,134.48836928900002,Surface 1,exit
2717,134.636145289,Surface 1,enter
2717,134.636145289,Surface 1,exit
2722,134.88243828900002,Surface 1,enter
2722,134.88243828900002,Surface 1,exit
2724,134.980956289,Surface 1,enter
2784,137.936479289,Surface 1,exit
2789,138.182773289,Surface 1,enter
2790,138.23203228900002,Surface 1,exit
2794,138.42906728900002,Surface 1,enter
2800,138.724619289,Surface 1,exit
2802,138.82313628900002,Surface 1,enter
2805,138.970913289,Surface 1,exit
2813,139.364982289,Surface 1,enter
2815,139.463500289,Surface 1,exit
2817,139.562017289,Surface 1,enter
2818,139.61127628900002,Surface 1,exit
2820,139.709794289,Surface 1,enter
2826,140.00534628900002,Surface 1,exit
2829,140.153122289,Surface 1,enter
2857,141.532366289,Surface 1,exit
2859,141.63088428900002,Surface 1,enter
2865,141.926436289,Surface 1,exit
2869,142.123471289,Surface 1,enter
2873,142.320506289,Surface 1,exit
2876,142.468282289,Surface 1,enter
2888,143.059387289,Surface 1,exit
2890,143.15790428900002,Surface 1,enter
2983,147.73896628900002,Surface 1,exit
2985,147.837483289,Surface 1,enter
3026,149.857091289,Surface 1,exit
3035,150.30042028900002,Surface 1,enter
3038,150.448196289,Surface 1,exit
3044,150.743748289,Surface 1,enter
3044,150.743748289,Surface 1,exit
3048,150.940783289,Surface 1,enter
3048,150.940783289,Surface 1,exit
3053,151.187077289,Surface 1,enter
3054,151.236335289,Surface 1,exit
3058,151.433370289,Surface 1,enter
3060,151.53188828900002,Surface 1,exit
3066,151.827440289,Surface 1,enter
3066,151.827440289,Surface 1,exit
3073,152.172251289,Surface 1,enter
3074,152.221510289,Surface 1,exit
3081,152.566321289,Surface 1,enter
3082,152.615580289,Surface 1,exit
3092,153.10816728900002,Surface 1,enter
3093,153.157426289,Surface 1,exit
3101,153.551496289,Surface 1,enter
3101,153.551496289,Surface 1,exit
3104,153.69927228900002,Surface 1,enter
3105,153.748530289,Surface 1,exit
3112,154.09334228900002,Surface 1,enter
3115,154.241118289,Surface 1,exit
3124,154.68444628900002,Surface 1,enter
3124,154.68444628900002,Surface 1,exit
3133,155.127775289,Surface 1,enter
3135,155.226292289,Surface 1,exit
3140,155.47258628900002,Surface 1,enter
3141,155.521845289,Surface 1,exit
3144,155.66962128900002,Surface 1,enter
3144,155.66962128900002,Surface 1,exit
3156,156.26072628900002,Surface 1,enter
3157,156.309984289,Surface 1,exit
3161,156.507019289,Surface 1,enter
3168,156.85183028900002,Surface 1,exit
3184,157.63997028900002,Surface 1,enter
3196,158.23107528900002,Surface 1,exit
3198,158.329592289,Surface 1,enter
3200,158.42810928900002,Surface 1,exit
3211,158.969955289,Surface 1,enter
3214,159.117732289,Surface 1,exit
3223,159.561060289,Surface 1,enter
3281,162.41806628900002,Surface 1,exit
3283,162.516584289,Surface 1,enter
3286,162.664360289,Surface 1,exit
3288,162.76287728900002,Surface 1,enter
3295,163.107688289,Surface 1,exit
3298,163.255465289,Surface 1,enter
3302,163.452500289,Surface 1,exit
3305,163.60027628900002,Surface 1,enter
3307,163.698793289,Surface 1,exit
3310,163.846569289,Surface 1,enter
3310,163.846569289,Surface 1,exit
3312,163.945087289,Surface 1,enter
3318,164.240639289,Surface 1,exit
3322,164.437674289,Surface 1,enter
3328,164.73322628900002,Surface 1,exit
3330,164.831744289,Surface 1,enter
3331,164.881003289,Surface 1,exit
3333,164.97952028900002,Surface 1,enter
3333,164.97952028900002,Surface 1,exit
3342,165.422849289,Surface 1,enter
3347,165.669142289,Surface 1,exit
3349,165.76766028900002,Surface 1,enter
3351,165.866177289,Surface 1,exit
3353,165.96469528900002,Surface 1,enter
3355,166.063212289,Surface 1,exit
3358,166.210988289,Surface 1,enter
3359,166.260247289,Surface 1,exit
3366,166.605058289,Surface 1,enter
3369,166.75283428900002,Surface 1,exit
3375,167.048387289,Surface 1,enter
3375,167.048387289,Surface 1,exit
3378,167.196163289,Surface 1,enter
3394,167.984302289,Surface 1,exit
3397,168.13207828900002,Surface 1,enter
3399,168.230596289,Surface 1,exit
3404,168.476890289,Surface 1,enter
3411,168.821701289,Surface 1,exit
3414,168.969477289,Surface 1,enter
3423,169.412805289,Surface 1,exit
3432,169.856134289,Surface 1,enter
3445,170.49649728900002,Surface 1,exit
3447,170.595015289,Surface 1,enter
3447,170.595015289,Surface 1,exit
3450,170.74279128900002,Surface 1,enter
3451,170.792050289,Surface 1,exit
3455,170.989085289,Surface 1,enter
3464,171.432413289,Surface 1,exit
3467,171.580189289,Surface 1,enter
3467,171.580189289,Surface 1,exit
3469,171.67870728900002,Surface 1,enter
3487,172.565364289,Surface 1,exit
3489,172.66388128900002,Surface 1,enter
3498,173.10721028900002,Surface 1,exit
3501,173.25498628900002,Surface 1,enter
3598,178.03308228900002,Surface 1,exit
3602,178.23011728900002,Surface 1,enter
3619,179.06751628900003,Surface 1,exit
3624,179.313809289,Surface 1,enter
3676,181.875263289,Surface 1,exit
3680,182.072298289,Surface 1,enter
3708,183.451542289,Surface 1,exit
3710,183.55006028900002,Surface 1,enter
3736,184.830787289,Surface 1,exit
3742,185.12633928900001,Surface 1,enter
3742,185.12633928900001,Surface 1,exit
3744,185.224857289,Surface 1,enter
3763,186.16077228900002,Surface 1,exit
3771,186.55484228900002,Surface 1,enter
3774,186.70261828900001,Surface 1,exit
3783,187.14594728900002,Surface 1,enter
3784,187.195206289,Surface 1,exit
3789,187.441499289,Surface 1,enter
3818,188.870002289,Surface 1,exit
3820,188.96852028900003,Surface 1,enter
3822,189.067037289,Surface 1,exit
3827,189.31333128900002,Surface 1,enter
3855,190.69257528900002,Surface 1,exit
3872,191.52997328900003,Surface 1,enter
3874,191.628491289,Surface 1,exit
3878,191.825526289,Surface 1,enter
3881,191.973302289,Surface 1,exit
3883,192.07181928900002,Surface 1,enter
3883,192.07181928900002,Surface 1,exit
3885,192.170337289,Surface 1,enter
3886,192.219596289,Surface 1,exit
3889,192.367372289,Surface 1,enter
3890,192.416631289,Surface 1,exit
3894,192.613665289,Surface 1,enter
3895,192.66292428900002,Surface 1,exit
3901,192.958476289,Surface 1,enter
3907,193.25402928900002,Surface 1,exit
3910,193.401805289,Surface 1,enter
3916,193.69735728900002,Surface 1,exit
3918,193.795875289,Surface 1,enter
4033,199.460628289,Surface 1,exit
4036,199.60840528900002,Surface 1,enter
4040,199.80543928900002,Surface 1,exit
4052,200.39654428900002,Surface 1,enter
4053,200.44580328900003,Surface 1,exit
4055,200.544320289,Surface 1,enter
4081,201.82504728900003,Surface 1,exit
4083,201.923565289,Surface 1,enter
4086,202.071341289,Surface 1,exit
4088,202.16985828900002,Surface 1,enter
4092,202.36689328900002,Surface 1,exit
4095,202.514669289,Surface 1,enter
4105,203.00725728900002,Surface 1,exit
