recording_id,num_fixations_total,num_fixations_waldo,NSS_all_vs_saliency,NSS_waldo_vs_saliency,KL_fixmap_saliency,Pearson_fixmap_saliency,AUCJ_fix_saliency,AUCJ_waldo_saliency
2025-09-26_16-24-13-61db42a9,300,10,0.07574151456356049,0.16785255074501038,0.6855164095555591,0.052449338138103485,0.5314391891891892,0.5584
2025-09-26_16-45-00-95032692,368,6,-0.05160827189683914,-0.42755773663520813,0.8636301553050709,-0.09088458120822906,0.4496842105263158,0.3320833333333333
2025-09-26_19-01-53-2ec86210,659,3,-0.2816219627857208,-0.21965789794921875,1.3080343544066944,-0.14731168746948242,0.418906346749226,0.44966666666666666
2025-09-26_19-10-19-05411873,288,7,-0.06429138034582138,-0.1852184385061264,1.0320117350942213,-0.056559402495622635,0.455559649122807,0.4383571428571428
2025-09-26_19-12-44-115b6a40,519,22,-0.12651367485523224,0.28260207176208496,1.0210657364026334,-0.041969746351242065,0.4544404296875,0.630590909090909
2025-09-26_19-17-52-c0419fea,157,8,0.3438141644001007,0.4932999014854431,0.856390433530967,0.21974171698093414,0.5884903846153846,0.6943125
2025-09-26_19-27-31-2699d4a1,226,17,-0.09614856541156769,0.010793880559504032,1.3893929580753814,-0.048453256487846375,0.4889708520179372,0.5231875
2025-09-26_19-29-58-b4f7a1df,369,3,0.38419467210769653,-0.11401394754648209,0.6983493384327452,0.11445719003677368,0.5662682584269663,0.4751666666666666
2025-09-26_19-37-31-91230d39,218,10,0.10048259049654007,0.40212956070899963,1.1432141751596177,-0.016633793711662292,0.5401921296296297,0.6576500000000001
2025-09-26_19-39-21-36589e44,1338,31,-0.09857769310474396,-0.4770011901855469,0.5892741758817771,-0.08382326364517212,0.4643884585592564,0.3506
2025-09-26_20-20-21-410567f0,595,4,0.013706431724131107,-0.04516620561480522,0.6113795509665104,-0.05063972622156143,0.4391279863481229,0.5315000000000001
